stone,chakra
amazonite,4 & 5
amethyst,6 & 7
ametrine,6
angelite,5
apatite,5
aquamarine,5
azurite,6
black tourmaline,6
carnelian,2
chrysoprase,4
citrine,3
coral,2
crystal quartz,1
fluorite,2 & 6
garnet,1
green aventurine,2 & 4
green onyx,4
hematite,1
jade,4
kyanite,6
labradorite,1 & 6
lapis lazuli,5 & 6
lavendar amethyst,4 & 7
lepidolite,6
iolite,6
malachite,4
moonstone,6
mystic merlinite,6
orange calcite,2
peridot,4
pink tourmaline,4
prehnite,4
rose quartz,1 & 4
smoky quartz,1
sodalite,6
tanzanite,6
turquoise,5 & 6
watermelon tourmaline,4
white jade,7
yellow jade,3
yellow jasper,3
yellow topaz,3
